id,claim,label
4605,"Google đã cải tiến mô hình tạo ảnh Nano Banana 2, giúp nó tạo ra hình ảnh nhanh hơn và trông chân thực hơn trước đây.",true
4608,Meta đã ký thỏa thuận trị giá hàng chục tỷ USD với AMD để mua GPU và CPU cho nhu cầu AI trong nhiều năm tới.,true
4579,"TP HCM sẽ khởi công Trung tâm dữ liệu AI với vốn đầu tư 1,8 tỷ USD tại Khu công nghiệp Tân Phú Trung vào dịp 30/4, dự kiến hoàn tất giải ngân vào quý 3/2026.",false
4640,Mark Zuckerberg tuyên bố kính AI sẽ thay thế hoàn toàn kính truyền thống vào cuối năm 2024 và sẽ được bán rộng rãi tại châu Âu trước tiên.,false
4585,"Hikvision vừa công bố ấn phẩm ""Hikvision's Journey Practicing Responsible AI"" tại sự kiện ở Thượng Hải, giới thiệu cách tiếp cận của doanh nghiệp trong phát triển và quản trị trí tuệ nhân tạo, đồng thời cam kết sẽ áp dụng các nguyên tắc này cho tất cả sản phẩm mới từ quý 4 năm 2023.",false
4668,Google đã gỡ bỏ tất cả các bản tóm tắt về sức khỏe trên AI Overviews sau khi tính năng này bị phát hiện cung cấp thông tin sai lệch vào tháng 4.,false
4606,"Jensen Huang, CEO của Nvidia, tuyên bố rằng quan điểm cho rằng tác nhân AI sẽ thống trị thị trường phần mềm doanh nghiệp là một sai lầm.",true
4628,"AI đang thúc đẩy sự chuyển dịch lao động từ các ngành sản xuất truyền thống sang các lĩnh vực công nghệ cao, đồng thời làm gia tăng nhu cầu về kỹ năng số và tư duy sáng tạo trong lực lượng lao động Trung Quốc.",true
4587,"Ứng dụng AI Claude của Anthropic đã đạt một triệu lượt tải mỗi ngày, vượt qua ChatGPT để trở thành ứng dụng dẫn đầu trên kho ứng dụng tại Mỹ.",true
4655,"Nhiều người dùng AI chatbot đã bày tỏ mong muốn xây dựng mối quan hệ lâu dài, với một số nghiên cứu ghi nhận xu hướng người dùng coi chatbot như bạn đời và thậm chí có trường hợp đăng ký kết hôn với thực thể AI ở một số quốc gia.",true
